,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
0,LogisticRegression,10,10,0.6479468599033816,0.5982205087852899,0.5739130434782609,0.5629608141443835,0.5963525257298887,"O2Hb_max, HHb_max, O2Hb_mean, O2Hb_median, HHb_mean, O2Hb_min, tHb_mean, HHb_std, HHb_median, HHb_min, tHb_median, tHb_min, tHb_max, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.12255953399129209)), ('HHb_max', np.float64(0.09944588578640805)), ('O2Hb_mean', np.float64(0.0951448291174674)), ('O2Hb_median', np.float64(0.09140104313685957)), ('HHb_mean', np.float64(0.07548092886620426)), ('O2Hb_min', np.float64(0.07166742365835407)), ('tHb_mean', np.float64(0.06372345478737657)), ('HHb_std', np.float64(0.0595194204960152)), ('HHb_median', np.float64(0.057640823662234275)), ('HHb_min', np.float64(0.05332491027826271)), ('tHb_median', np.float64(0.05170270843457707)), ('tHb_min', np.float64(0.04879181676009249)), ('tHb_max', np.float64(0.04326578507359309)), ('O2Hb_std', np.float64(0.03902753110670116)), ('tHb_std', np.float64(0.02730390484456175))]",15
1,SVC,10,10,0.7542270531400966,0.6595509962517262,0.6108695652173913,0.6002465299654428,0.6147326585801303,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304))]",7
2,RandomForest,10,10,0.660024154589372,0.5976451410601699,0.5554347826086956,0.5661310045897318,0.60183981831548,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304))]",7
3,KNN,10,10,0.6322463768115941,0.5899057396417215,0.5590579710144928,0.5699219081572023,0.5986498372190716,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304)), ('O2Hb_min', np.float64(194.78941988136734)), ('HHb_max', np.float64(67.97222414999574)), ('HHb_mean', np.float64(59.36814804090115)), ('HHb_median', np.float64(58.605583926620234))]",11
4,DecisionTree,10,10,0.6419082125603865,0.5895980372471145,0.5512681159420291,0.5664381507255759,0.5643115942028986,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212))]",6
5,XGBoost,10,10,0.6527777777777778,0.5982574121587234,0.5617753623188405,0.5713134824940761,0.5878705235244697,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906))]",5
6,LogisticRegression,10,20,0.6026570048309179,0.5400593328427311,0.49492753623188407,0.4998228458049887,0.4990285654274313,"O2Hb_median, O2Hb_max, O2Hb_mean, HHb_max, HHb_mean, HHb_std, O2Hb_min, HHb_median, tHb_min, HHb_min, tHb_mean, tHb_median, O2Hb_std, tHb_max, tHb_std",random_forest,"[('O2Hb_median', np.float64(0.10530202202914854)), ('O2Hb_max', np.float64(0.10347756010328421)), ('O2Hb_mean', np.float64(0.09811593301759053)), ('HHb_max', np.float64(0.08327933895634976)), ('HHb_mean', np.float64(0.07311384025041906)), ('HHb_std', np.float64(0.07281410995121994)), ('O2Hb_min', np.float64(0.06732327162211005)), ('HHb_median', np.float64(0.06581596326636019)), ('tHb_min', np.float64(0.05979915651410024)), ('HHb_min', np.float64(0.055345328773177514)), ('tHb_mean', np.float64(0.05123032788623808)), ('tHb_median', np.float64(0.045974918194117455)), ('O2Hb_std', np.float64(0.043391934949143514)), ('tHb_max', np.float64(0.040402365975570745)), ('tHb_std', np.float64(0.03461392851117026))]",15
7,SVC,10,20,0.6896135265700484,0.5780349238224657,0.5032608695652173,0.5029573206800364,0.5201638311279143,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248)), ('O2Hb_median', np.float64(107.27016653632109)), ('O2Hb_min', np.float64(94.55030289682729))]",8
8,RandomForest,10,20,0.611111111111111,0.5591622778901364,0.5210144927536232,0.5329053935732423,0.5122545158580131,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134))]",5
9,KNN,10,20,0.6280193236714976,0.5860459477480754,0.5623188405797102,0.5584854807859503,0.5693459882377652,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248))]",6
10,DecisionTree,10,20,0.6219806763285024,0.5461516214193471,0.49963768115942025,0.5121966575091575,0.5157004830917874,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_min",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248)), ('O2Hb_median', np.float64(107.27016653632109)), ('O2Hb_min', np.float64(94.55030289682729)), ('HHb_max', np.float64(28.950954160494017)), ('HHb_mean', np.float64(26.515742624499143)), ('HHb_min', np.float64(26.356805138313803))]",11
11,XGBoost,10,20,0.6316425120772946,0.5688047338036614,0.5217391304347826,0.5345112065910701,0.538923020373871,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248))]",6
12,LogisticRegression,10,30,0.6057347670250897,0.566887743110641,0.5440860215053763,0.540719018138373,0.5641114579720199,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, HHb_mean, tHb_mean, O2Hb_min, tHb_median, HHb_min, tHb_min, HHb_median, tHb_max, HHb_std, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.12589473138615628)), ('O2Hb_median', np.float64(0.09778312907006034)), ('O2Hb_mean', np.float64(0.08207161021113014)), ('HHb_max', np.float64(0.08141175406125542)), ('HHb_mean', np.float64(0.07562230779313003)), ('tHb_mean', np.float64(0.07077354145815234)), ('O2Hb_min', np.float64(0.06935828955003967)), ('tHb_median', np.float64(0.06554910554773373)), ('HHb_min', np.float64(0.05847961146391212)), ('tHb_min', np.float64(0.054282971032428205)), ('HHb_median', np.float64(0.051787105785104745)), ('tHb_max', np.float64(0.049936037942216877)), ('HHb_std', np.float64(0.04605698628397158)), ('O2Hb_std', np.float64(0.044092757215120244)), ('tHb_std', np.float64(0.02690006119958837))]",15
13,SVC,10,30,0.7150537634408604,0.6341170323928944,0.5801075268817204,0.5919467343056436,0.6164585501214013,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, HHb_mean, tHb_mean, O2Hb_min, tHb_median, HHb_min, tHb_min, HHb_median, tHb_max, HHb_std",random_forest,"[('O2Hb_max', np.float64(0.12589473138615628)), ('O2Hb_median', np.float64(0.09778312907006034)), ('O2Hb_mean', np.float64(0.08207161021113014)), ('HHb_max', np.float64(0.08141175406125542)), ('HHb_mean', np.float64(0.07562230779313003)), ('tHb_mean', np.float64(0.07077354145815234)), ('O2Hb_min', np.float64(0.06935828955003967)), ('tHb_median', np.float64(0.06554910554773373)), ('HHb_min', np.float64(0.05847961146391212)), ('tHb_min', np.float64(0.054282971032428205)), ('HHb_median', np.float64(0.051787105785104745)), ('tHb_max', np.float64(0.049936037942216877)), ('HHb_std', np.float64(0.04605698628397158))]",13
14,RandomForest,10,30,0.6469534050179212,0.5919047438248389,0.5543010752688172,0.5694698551055183,0.5705139322465025,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(97.01335640039036)), ('tHb_mean', np.float64(95.78716403258204)), ('tHb_median', np.float64(93.10175863801035)), ('tHb_min', np.float64(92.03234087334889)), ('O2Hb_max', np.float64(79.59221157746344)), ('O2Hb_mean', np.float64(71.37995565255042))]",6
15,KNN,10,30,0.6433691756272402,0.6019478692896415,0.578494623655914,0.579111014324429,0.5868597525725517,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, HHb_mean",random_forest,"[('O2Hb_max', np.float64(0.12589473138615628)), ('O2Hb_median', np.float64(0.09778312907006034)), ('O2Hb_mean', np.float64(0.08207161021113014)), ('HHb_max', np.float64(0.08141175406125542)), ('HHb_mean', np.float64(0.07562230779313003))]",5
16,DecisionTree,10,30,0.6917562724014337,0.6060025542784163,0.5489247311827957,0.5555790485422808,0.5609318996415772,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, HHb_mean, tHb_mean, O2Hb_min, tHb_median, HHb_min, tHb_min, HHb_median, tHb_max, HHb_std, O2Hb_std",random_forest,"[('O2Hb_max', np.float64(0.12589473138615628)), ('O2Hb_median', np.float64(0.09778312907006034)), ('O2Hb_mean', np.float64(0.08207161021113014)), ('HHb_max', np.float64(0.08141175406125542)), ('HHb_mean', np.float64(0.07562230779313003)), ('tHb_mean', np.float64(0.07077354145815234)), ('O2Hb_min', np.float64(0.06935828955003967)), ('tHb_median', np.float64(0.06554910554773373)), ('HHb_min', np.float64(0.05847961146391212)), ('tHb_min', np.float64(0.054282971032428205)), ('HHb_median', np.float64(0.051787105785104745)), ('tHb_max', np.float64(0.049936037942216877)), ('HHb_std', np.float64(0.04605698628397158)), ('O2Hb_std', np.float64(0.044092757215120244))]",14
17,XGBoost,10,30,0.6630824372759857,0.5981003379577475,0.5499999999999999,0.5689984454807906,0.6123251242918256,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std, O2Hb_std",select_k_best,"[('tHb_max', np.float64(97.01335640039036)), ('tHb_mean', np.float64(95.78716403258204)), ('tHb_median', np.float64(93.10175863801035)), ('tHb_min', np.float64(92.03234087334889)), ('O2Hb_max', np.float64(79.59221157746344)), ('O2Hb_mean', np.float64(71.37995565255042)), ('O2Hb_median', np.float64(70.16040891342183)), ('O2Hb_min', np.float64(64.75402960648314)), ('HHb_max', np.float64(22.85683762012318)), ('HHb_mean', np.float64(20.08641532285253)), ('HHb_median', np.float64(19.906004274253352)), ('HHb_min', np.float64(16.509856731177443)), ('HHb_std', np.float64(5.333628462926209)), ('O2Hb_std', np.float64(2.119980713572132))]",14
18,LogisticRegression,10,40,0.608695652173913,0.5945881653285756,0.5826086956521738,0.6089546929883064,0.5651648813274521,"tHb_max, tHb_mean, tHb_min, O2Hb_max, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min, O2Hb_std, HHb_max",select_k_best,"[('tHb_max', np.float64(82.7641606073052)), ('tHb_mean', np.float64(75.31852751986504)), ('tHb_min', np.float64(74.17666335208413)), ('O2Hb_max', np.float64(72.67793921017139)), ('tHb_median', np.float64(72.42987809146884)), ('O2Hb_mean', np.float64(59.406162066517965)), ('O2Hb_median', np.float64(58.812422740916524)), ('O2Hb_min', np.float64(47.80166102210963)), ('O2Hb_std', np.float64(16.42184901193527)), ('HHb_max', np.float64(15.478794532023151))]",10
19,SVC,10,40,0.7753623188405797,0.6772149810262332,0.6434782608695652,0.6056662796697626,0.6671917664356227,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max",random_forest,"[('O2Hb_max', np.float64(0.11938350975185842)), ('O2Hb_median', np.float64(0.10535978941535788)), ('O2Hb_mean', np.float64(0.09628454244705849)), ('tHb_max', np.float64(0.06990767601031302))]",4
20,RandomForest,10,40,0.6811594202898551,0.610061058236485,0.5731884057971015,0.5590349112217162,0.5535076664566267,"tHb_max, tHb_mean, tHb_min, O2Hb_max, tHb_median, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(82.7641606073052)), ('tHb_mean', np.float64(75.31852751986504)), ('tHb_min', np.float64(74.17666335208413)), ('O2Hb_max', np.float64(72.67793921017139)), ('tHb_median', np.float64(72.42987809146884)), ('O2Hb_mean', np.float64(59.406162066517965))]",6
21,KNN,10,40,0.6980676328502415,0.6707946509965304,0.6847826086956522,0.6506621320485247,0.6589739550514598,"O2Hb_max, O2Hb_median, O2Hb_mean",random_forest,"[('O2Hb_max', np.float64(0.11938350975185842)), ('O2Hb_median', np.float64(0.10535978941535788)), ('O2Hb_mean', np.float64(0.09628454244705849))]",3
22,DecisionTree,10,40,0.6497584541062802,0.6222426042394597,0.618840579710145,0.6018181818181818,0.6207729468599034,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max",random_forest,"[('O2Hb_max', np.float64(0.11938350975185842)), ('O2Hb_median', np.float64(0.10535978941535788)), ('O2Hb_mean', np.float64(0.09628454244705849)), ('tHb_max', np.float64(0.06990767601031302))]",4
23,XGBoost,10,40,0.6690821256038647,0.582006502321308,0.5311594202898551,0.5160303255898753,0.48529720646922914,"tHb_max, tHb_mean, tHb_min",select_k_best,"[('tHb_max', np.float64(82.7641606073052)), ('tHb_mean', np.float64(75.31852751986504)), ('tHb_min', np.float64(74.17666335208413))]",3
24,LogisticRegression,10,50,0.587719298245614,0.5750938295741164,0.5657894736842105,0.5852209805698178,0.5757925515543244,"O2Hb_max, O2Hb_median, HHb_max, O2Hb_mean, HHb_std, tHb_mean, HHb_mean, tHb_min, O2Hb_min, tHb_max, HHb_median, HHb_min, tHb_median, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.11209992487915182)), ('O2Hb_median', np.float64(0.10861059235549804)), ('HHb_max', np.float64(0.08059032107714947)), ('O2Hb_mean', np.float64(0.08052356591745569)), ('HHb_std', np.float64(0.07387717876545387)), ('tHb_mean', np.float64(0.073732722271064)), ('HHb_mean', np.float64(0.06824655876128514)), ('tHb_min', np.float64(0.06332856698434024)), ('O2Hb_min', np.float64(0.06318324004508395)), ('tHb_max', np.float64(0.05437278019507716)), ('HHb_median', np.float64(0.05412903873006889)), ('HHb_min', np.float64(0.046834666702691666)), ('tHb_median', np.float64(0.0453206794587227)), ('O2Hb_std', np.float64(0.040038336164725234)), ('tHb_std', np.float64(0.035111827692232075))]",15
25,SVC,10,50,0.6783625730994153,0.60483618777499,0.5552631578947368,0.5608924556760294,0.5914127423822714,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std",select_k_best,"[('tHb_max', np.float64(57.83131734760882)), ('tHb_mean', np.float64(56.45516314477993)), ('tHb_min', np.float64(55.023736458941386)), ('tHb_median', np.float64(54.54758956435368)), ('O2Hb_max', np.float64(47.52589818911241)), ('O2Hb_mean', np.float64(42.719006231210756)), ('O2Hb_median', np.float64(41.77320127405642)), ('O2Hb_min', np.float64(39.173221504622816)), ('HHb_max', np.float64(12.590866500298862)), ('HHb_mean', np.float64(11.366085693985813)), ('HHb_median', np.float64(11.159134613157383)), ('HHb_min', np.float64(10.07718076530942)), ('HHb_std', np.float64(1.9490512865673313))]",13
26,RandomForest,10,50,0.6491228070175439,0.5851232647349153,0.5403508771929825,0.545992815558033,0.5585564789165898,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_max', np.float64(57.83131734760882)), ('tHb_mean', np.float64(56.45516314477993)), ('tHb_min', np.float64(55.023736458941386)), ('tHb_median', np.float64(54.54758956435368)), ('O2Hb_max', np.float64(47.52589818911241)), ('O2Hb_mean', np.float64(42.719006231210756)), ('O2Hb_median', np.float64(41.77320127405642)), ('O2Hb_min', np.float64(39.173221504622816))]",8
27,KNN,10,50,0.6637426900584795,0.594823395534343,0.5552631578947368,0.5473654979233072,0.5887965527854725,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_max', np.float64(57.83131734760882)), ('tHb_mean', np.float64(56.45516314477993)), ('tHb_min', np.float64(55.023736458941386)), ('tHb_median', np.float64(54.54758956435368)), ('O2Hb_max', np.float64(47.52589818911241)), ('O2Hb_mean', np.float64(42.719006231210756)), ('O2Hb_median', np.float64(41.77320127405642)), ('O2Hb_min', np.float64(39.173221504622816))]",8
28,DecisionTree,10,50,0.6403508771929824,0.575483588141816,0.5324561403508773,0.5503613369467028,0.5511695906432749,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(57.83131734760882)), ('tHb_mean', np.float64(56.45516314477993)), ('tHb_min', np.float64(55.023736458941386)), ('tHb_median', np.float64(54.54758956435368)), ('O2Hb_max', np.float64(47.52589818911241)), ('O2Hb_mean', np.float64(42.719006231210756))]",6
29,XGBoost,10,50,0.6695906432748537,0.5982529699510831,0.5526315789473685,0.5595786701777485,0.5595567867036011,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(57.83131734760882)), ('tHb_mean', np.float64(56.45516314477993)), ('tHb_min', np.float64(55.023736458941386)), ('tHb_median', np.float64(54.54758956435368)), ('O2Hb_max', np.float64(47.52589818911241)), ('O2Hb_mean', np.float64(42.719006231210756)), ('O2Hb_median', np.float64(41.77320127405642))]",7
30,LogisticRegression,10,60,0.5277777777777778,0.4874130551096843,0.45416666666666666,0.4635840108401084,0.4463975694444444,"O2Hb_max, O2Hb_mean, O2Hb_median, HHb_max, HHb_mean, HHb_min, HHb_median, HHb_std, tHb_mean, tHb_min, O2Hb_min, O2Hb_std, tHb_median, tHb_max, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.1051448621535379)), ('O2Hb_mean', np.float64(0.09732065488526496)), ('O2Hb_median', np.float64(0.08755736097131683)), ('HHb_max', np.float64(0.08290235973011477)), ('HHb_mean', np.float64(0.07179159694719896)), ('HHb_min', np.float64(0.0661816651772182)), ('HHb_median', np.float64(0.06505213473755074)), ('HHb_std', np.float64(0.06086410155970647)), ('tHb_mean', np.float64(0.06085386288302841)), ('tHb_min', np.float64(0.060253053496331754)), ('O2Hb_min', np.float64(0.06017000450693472)), ('O2Hb_std', np.float64(0.05611674672723221)), ('tHb_median', np.float64(0.048343239916308844)), ('tHb_max', np.float64(0.04362920729842196)), ('tHb_std', np.float64(0.03381914900983329))]",15
31,SVC,10,60,0.6284722222222222,0.5325549013206946,0.453125,0.4677146024707,0.44976128472222227,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_min, HHb_mean",select_k_best,"[('tHb_min', np.float64(46.61302103453406)), ('tHb_max', np.float64(46.2288502209724)), ('tHb_mean', np.float64(45.24848956785894)), ('tHb_median', np.float64(43.92068103437312)), ('O2Hb_max', np.float64(41.101794956672435)), ('O2Hb_mean', np.float64(36.17573445534701)), ('O2Hb_median', np.float64(36.00953914872669)), ('O2Hb_min', np.float64(31.57246891516891)), ('HHb_max', np.float64(9.758926565482373)), ('HHb_min', np.float64(9.356241278323857)), ('HHb_mean', np.float64(9.173910595303706))]",11
32,RandomForest,10,60,0.6180555555555556,0.5333001809938533,0.47291666666666665,0.48871610845295055,0.4577365451388889,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max",select_k_best,"[('tHb_min', np.float64(46.61302103453406)), ('tHb_max', np.float64(46.2288502209724)), ('tHb_mean', np.float64(45.24848956785894)), ('tHb_median', np.float64(43.92068103437312)), ('O2Hb_max', np.float64(41.101794956672435))]",5
33,KNN,10,60,0.6180555555555555,0.5656539200279379,0.5302083333333333,0.5330691654221066,0.5123155381944444,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_min",select_k_best,"[('tHb_min', np.float64(46.61302103453406)), ('tHb_max', np.float64(46.2288502209724)), ('tHb_mean', np.float64(45.24848956785894)), ('tHb_median', np.float64(43.92068103437312)), ('O2Hb_max', np.float64(41.101794956672435)), ('O2Hb_mean', np.float64(36.17573445534701)), ('O2Hb_median', np.float64(36.00953914872669)), ('O2Hb_min', np.float64(31.57246891516891)), ('HHb_max', np.float64(9.758926565482373)), ('HHb_min', np.float64(9.356241278323857))]",10
34,DecisionTree,10,60,0.6215277777777778,0.5626507920817453,0.5166666666666667,0.5302488246760693,0.5260416666666666,"O2Hb_max, O2Hb_mean, O2Hb_median, HHb_max, HHb_mean, HHb_min, HHb_median, HHb_std",random_forest,"[('O2Hb_max', np.float64(0.1051448621535379)), ('O2Hb_mean', np.float64(0.09732065488526496)), ('O2Hb_median', np.float64(0.08755736097131683)), ('HHb_max', np.float64(0.08290235973011477)), ('HHb_mean', np.float64(0.07179159694719896)), ('HHb_min', np.float64(0.0661816651772182)), ('HHb_median', np.float64(0.06505213473755074)), ('HHb_std', np.float64(0.06086410155970647))]",8
35,XGBoost,10,60,0.5972222222222222,0.5384795321637427,0.5041666666666667,0.4960190724663758,0.46875,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_min', np.float64(46.61302103453406)), ('tHb_max', np.float64(46.2288502209724)), ('tHb_mean', np.float64(45.24848956785894)), ('tHb_median', np.float64(43.92068103437312)), ('O2Hb_max', np.float64(41.101794956672435)), ('O2Hb_mean', np.float64(36.17573445534701))]",6
36,LogisticRegression,10,70,0.5436507936507936,0.515374379748163,0.4916666666666667,0.5388524077548468,0.5191326530612245,"tHb_max, tHb_mean, tHb_median",select_k_best,"[('tHb_max', np.float64(45.36125912952654)), ('tHb_mean', np.float64(43.33607945548708)), ('tHb_median', np.float64(41.60243361737175))]",3
37,SVC,10,70,0.7261904761904763,0.6198338997867995,0.5571428571428572,0.5518575851393189,0.5376984126984127,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min",select_k_best,"[('tHb_max', np.float64(45.36125912952654)), ('tHb_mean', np.float64(43.33607945548708)), ('tHb_median', np.float64(41.60243361737175)), ('tHb_min', np.float64(40.7838396302888)), ('O2Hb_max', np.float64(35.41808580244348)), ('O2Hb_mean', np.float64(32.05738127143053)), ('O2Hb_median', np.float64(31.249289991926187)), ('O2Hb_min', np.float64(29.426289047978322)), ('HHb_max', np.float64(10.181567742592291)), ('HHb_mean', np.float64(8.508203314966318)), ('HHb_median', np.float64(8.280109290349122)), ('HHb_min', np.float64(6.866917135663471))]",12
38,RandomForest,10,70,0.7142857142857144,0.6326661220043573,0.5928571428571429,0.5756792733536921,0.5497448979591838,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(45.36125912952654)), ('tHb_mean', np.float64(43.33607945548708)), ('tHb_median', np.float64(41.60243361737175)), ('tHb_min', np.float64(40.7838396302888)), ('O2Hb_max', np.float64(35.41808580244348)), ('O2Hb_mean', np.float64(32.05738127143053)), ('O2Hb_median', np.float64(31.249289991926187))]",7
39,KNN,10,70,0.6785714285714285,0.6034593425897774,0.5702380952380953,0.5467408023081406,0.576672335600907,"O2Hb_mean, O2Hb_median, HHb_max, O2Hb_max, HHb_median, HHb_mean, O2Hb_min, tHb_mean, tHb_min, HHb_min, tHb_max",random_forest,"[('O2Hb_mean', np.float64(0.11351142643507438)), ('O2Hb_median', np.float64(0.10830150633158538)), ('HHb_max', np.float64(0.0955020846490951)), ('O2Hb_max', np.float64(0.09417591400724137)), ('HHb_median', np.float64(0.07410702711565384)), ('HHb_mean', np.float64(0.07193133739575416)), ('O2Hb_min', np.float64(0.068283877046346)), ('tHb_mean', np.float64(0.06388340944313904)), ('tHb_min', np.float64(0.06367370713174846)), ('HHb_min', np.float64(0.05974774916552501)), ('tHb_max', np.float64(0.0527044669381287))]",11
40,DecisionTree,10,70,0.6349206349206349,0.5951639951639952,0.5702380952380953,0.5725404493520436,0.5753968253968254,"O2Hb_mean, O2Hb_median, HHb_max, O2Hb_max, HHb_median, HHb_mean, O2Hb_min, tHb_mean, tHb_min, HHb_min",random_forest,"[('O2Hb_mean', np.float64(0.11351142643507438)), ('O2Hb_median', np.float64(0.10830150633158538)), ('HHb_max', np.float64(0.0955020846490951)), ('O2Hb_max', np.float64(0.09417591400724137)), ('HHb_median', np.float64(0.07410702711565384)), ('HHb_mean', np.float64(0.07193133739575416)), ('O2Hb_min', np.float64(0.068283877046346)), ('tHb_mean', np.float64(0.06388340944313904)), ('tHb_min', np.float64(0.06367370713174846)), ('HHb_min', np.float64(0.05974774916552501))]",10
41,XGBoost,10,70,0.6349206349206349,0.5727133943979822,0.5333333333333333,0.5328282828282828,0.5041808390022676,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max",select_k_best,"[('tHb_max', np.float64(45.36125912952654)), ('tHb_mean', np.float64(43.33607945548708)), ('tHb_median', np.float64(41.60243361737175)), ('tHb_min', np.float64(40.7838396302888)), ('O2Hb_max', np.float64(35.41808580244348))]",5
