,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
287,XGBoost,50,80,0.5606060606060606,0.4869156683110171,0.49393939393939396,0.48701298701298706,0.49081726354453625,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_median",select_k_best,"[('tHb_max', np.float64(59.48697901142586)), ('tHb_mean', np.float64(52.08118527363609)), ('tHb_min', np.float64(41.695866908066286)), ('tHb_median', np.float64(40.874455114102595)), ('O2Hb_max', np.float64(34.6062002364579)), ('O2Hb_median', np.float64(25.247102802666458))]",6
288,LogisticRegression,50,90,0.6388888888888888,0.5998666133119914,0.5583333333333333,0.6110493140526511,0.5163888888888889,"O2Hb_max, tHb_max, tHb_mean, O2Hb_mean, HHb_max, O2Hb_median, tHb_min",random_forest,"[('O2Hb_max', np.float64(0.16074585000792904)), ('tHb_max', np.float64(0.11048136595531705)), ('tHb_mean', np.float64(0.09822561033988085)), ('O2Hb_mean', np.float64(0.09513369882137498)), ('HHb_max', np.float64(0.08854534775460979)), ('O2Hb_median', np.float64(0.07855886216955564)), ('tHb_min', np.float64(0.06968174876228266))]",7
289,SVC,50,90,0.6833333333333332,0.5480929502892441,0.47333333333333333,0.5236539060068471,0.4008333333333333,"O2Hb_max, tHb_max, tHb_mean, O2Hb_mean, HHb_max, O2Hb_median, tHb_min, HHb_median",random_forest,"[('O2Hb_max', np.float64(0.16074585000792904)), ('tHb_max', np.float64(0.11048136595531705)), ('tHb_mean', np.float64(0.09822561033988085)), ('O2Hb_mean', np.float64(0.09513369882137498)), ('HHb_max', np.float64(0.08854534775460979)), ('O2Hb_median', np.float64(0.07855886216955564)), ('tHb_min', np.float64(0.06968174876228266)), ('HHb_median', np.float64(0.06093491533792141))]",8
290,RandomForest,50,90,0.6722222222222222,0.5856474985261134,0.5216666666666666,0.5322187391152909,0.4805555555555556,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(55.64951997732387)), ('tHb_mean', np.float64(46.227818144770744)), ('O2Hb_max', np.float64(41.75142292068069)), ('tHb_min', np.float64(35.47701313688851)), ('tHb_median', np.float64(29.230868097732927)), ('O2Hb_mean', np.float64(26.790574380901738)), ('O2Hb_median', np.float64(23.27699652831615))]",7
291,KNN,50,90,0.6611111111111111,0.5742203119978608,0.5316666666666667,0.566551706902584,0.5675,"O2Hb_max, tHb_max, tHb_mean, O2Hb_mean, HHb_max, O2Hb_median, tHb_min, HHb_median",random_forest,"[('O2Hb_max', np.float64(0.16074585000792904)), ('tHb_max', np.float64(0.11048136595531705)), ('tHb_mean', np.float64(0.09822561033988085)), ('O2Hb_mean', np.float64(0.09513369882137498)), ('HHb_max', np.float64(0.08854534775460979)), ('O2Hb_median', np.float64(0.07855886216955564)), ('tHb_min', np.float64(0.06968174876228266)), ('HHb_median', np.float64(0.06093491533792141))]",8
292,DecisionTree,50,90,0.5,0.4541397849462365,0.49666666666666665,0.4298611111111111,0.4694444444444444,"tHb_max, tHb_mean, O2Hb_max",select_k_best,"[('tHb_max', np.float64(55.64951997732387)), ('tHb_mean', np.float64(46.227818144770744)), ('O2Hb_max', np.float64(41.75142292068069))]",3
293,XGBoost,50,90,0.5888888888888889,0.5370942125659107,0.49833333333333335,0.5260455486542444,0.5055555555555556,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median",select_k_best,"[('tHb_max', np.float64(55.64951997732387)), ('tHb_mean', np.float64(46.227818144770744)), ('O2Hb_max', np.float64(41.75142292068069)), ('tHb_min', np.float64(35.47701313688851)), ('tHb_median', np.float64(29.230868097732927))]",5
294,LogisticRegression,50,100,0.6296296296296297,0.5798448941936228,0.5481481481481482,0.5714975845410629,0.4951989026063101,"O2Hb_max, tHb_mean, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median, HHb_std, HHb_median, tHb_median, O2Hb_min",random_forest,"[('O2Hb_max', np.float64(0.1586032390316882)), ('tHb_mean', np.float64(0.11141938303749693)), ('HHb_max', np.float64(0.09751426786919469)), ('O2Hb_mean', np.float64(0.090645380042234)), ('tHb_max', np.float64(0.09007119223982193)), ('tHb_min', np.float64(0.07890090391697806)), ('O2Hb_median', np.float64(0.07800024816816435)), ('HHb_std', np.float64(0.07246158890070321)), ('HHb_median', np.float64(0.043095277067913385)), ('tHb_median', np.float64(0.04294283029677385)), ('O2Hb_min', np.float64(0.03545676022837039))]",11
295,SVC,50,100,0.6296296296296297,0.48120530263387407,0.3925925925925926,0.40332739156268566,0.3295610425240055,"tHb_max, tHb_mean, O2Hb_max, tHb_min",select_k_best,"[('tHb_max', np.float64(47.89443830043013)), ('tHb_mean', np.float64(44.43356619371277)), ('O2Hb_max', np.float64(36.11420140592105)), ('tHb_min', np.float64(33.93187204199686))]",4
296,RandomForest,50,100,0.5740740740740741,0.5351219512195122,0.5314814814814816,0.6426630434782609,0.5735596707818931,"O2Hb_max, tHb_mean, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median, HHb_std, HHb_median, tHb_median, O2Hb_min, HHb_mean, HHb_min, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.1586032390316882)), ('tHb_mean', np.float64(0.11141938303749693)), ('HHb_max', np.float64(0.09751426786919469)), ('O2Hb_mean', np.float64(0.090645380042234)), ('tHb_max', np.float64(0.09007119223982193)), ('tHb_min', np.float64(0.07890090391697806)), ('O2Hb_median', np.float64(0.07800024816816435)), ('HHb_std', np.float64(0.07246158890070321)), ('HHb_median', np.float64(0.043095277067913385)), ('tHb_median', np.float64(0.04294283029677385)), ('O2Hb_min', np.float64(0.03545676022837039)), ('HHb_mean', np.float64(0.031867554957852276)), ('HHb_min', np.float64(0.02376225868004858)), ('O2Hb_std', np.float64(0.02292269829365735)), ('tHb_std', np.float64(0.02233641726910277))]",15
